"velocity:0","velocity:1","velocity:2","vtkGhostType","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.82537,3.5935e-05,0,0,1.4914,1,0.2318,5.1,0.4318,0
0.82905,3.6246e-05,0,0,1.4914,1,0.2337,5.1,0.4337,0
0.83272,3.6557e-05,0,0,1.4914,1,0.2356,5.1,0.4356,0
0.8364,3.6868e-05,0,0,1.4914,1,0.2375,5.1,0.4375,0
0.84008,3.7179e-05,0,0,1.4914,1,0.2394,5.1,0.4394,0
0.84376,3.749e-05,0,0,1.4914,1,0.2413,5.1,0.4413,0
0.84743,3.7801e-05,0,0,1.4914,1,0.2432,5.1,0.4432,0
0.85111,3.8112e-05,0,0,1.4914,1,0.2451,5.1,0.4451,0
0.85479,3.8423e-05,0,0,1.4914,1,0.247,5.1,0.447,0
0.85847,3.8734e-05,0,0,1.4914,1,0.2489,5.1,0.4489,0
0.86214,3.9045e-05,0,0,1.4914,1,0.2508,5.1,0.4508,0
0.86582,3.9355e-05,0,0,1.4914,1,0.2527,5.1,0.4527,0
0.8695,3.9666e-05,0,0,1.4914,1,0.2546,5.1,0.4546,0
0.87318,3.9977e-05,0,0,1.4914,1,0.2565,5.1,0.4565,0
0.87685,4.0288e-05,0,0,1.4914,1,0.2584,5.1,0.4584,0
0.88053,4.0599e-05,0,0,1.4914,1,0.2603,5.1,0.4603,0
0.88421,4.091e-05,0,0,1.4914,1,0.2622,5.1,0.4622,0
0.88789,4.1221e-05,0,0,1.4914,1,0.2641,5.1,0.4641,0
0.89156,4.1532e-05,0,0,1.4914,1,0.266,5.1,0.466,0
0.89524,4.1843e-05,0,0,1.4914,1,0.2679,5.1,0.4679,0
0.89892,4.2154e-05,0,0,1.4914,1,0.2698,5.1,0.4698,0
0.9026,4.2465e-05,0,0,1.4914,1,0.2717,5.1,0.4717,0
0.90627,4.2776e-05,0,0,1.4914,1,0.2736,5.1,0.4736,0
0.90995,4.3086e-05,0,0,1.4914,1,0.2755,5.1,0.4755,0
0.91363,4.3397e-05,0,0,1.4914,1,0.2774,5.1,0.4774,0
0.91731,4.3708e-05,0,0,1.4914,1,0.2793,5.1,0.4793,0
0.92098,4.4019e-05,0,0,1.4914,1,0.2812,5.1,0.4812,0
0.92466,4.433e-05,0,0,1.4914,1,0.2831,5.1,0.4831,0
0.92834,4.4641e-05,0,0,1.4914,1,0.285,5.1,0.485,0
0.93202,4.4952e-05,0,0,1.4914,1,0.2869,5.1,0.4869,0
0.93569,4.5263e-05,0,0,1.4914,1,0.2888,5.1,0.4888,0
0.93937,4.5574e-05,0,0,1.4914,1,0.2907,5.1,0.4907,0
0.94305,4.5885e-05,0,0,1.4914,1,0.2926,5.1,0.4926,0
0.94673,4.6196e-05,0,0,1.4914,1,0.2945,5.1,0.4945,0
0.9504,4.6507e-05,0,0,1.4914,1,0.2964,5.1,0.4964,0
0.95408,4.6817e-05,0,0,1.4914,1,0.2983,5.1,0.4983,0
0.9577,4.7122e-05,0,0,1.4914,1,0.3002,5.1,0.5002,0
0.9608,4.7375e-05,0,0,1.4914,1,0.3021,5.1,0.5021,0
0.9639,4.7628e-05,0,0,1.4914,1,0.304,5.1,0.504,0
0.967,4.7881e-05,0,0,1.4914,1,0.3059,5.1,0.5059,0
0.9701,4.8134e-05,0,0,1.4914,1,0.3078,5.1,0.5078,0
0.9732,4.8386e-05,0,0,1.4914,1,0.3097,5.1,0.5097,0
0.9763,4.8639e-05,0,0,1.4914,1,0.3116,5.1,0.5116,0
0.9794,4.8892e-05,0,0,1.4914,1,0.3135,5.1,0.5135,0
0.9825,4.9145e-05,0,0,1.4914,1,0.3154,5.1,0.5154,0
0.9856,4.9398e-05,0,0,1.4914,1,0.3173,5.1,0.5173,0
0.9887,4.9651e-05,0,0,1.4914,1,0.3192,5.1,0.5192,0
0.9918,4.9903e-05,0,0,1.4914,1,0.3211,5.1,0.5211,0
0.9949,5.0156e-05,0,0,1.4914,1,0.323,5.1,0.523,0
0.998,5.0409e-05,0,0,1.4914,1,0.3249,5.1,0.5249,0
1.0011,5.0662e-05,0,0,1.4914,1,0.3268,5.1,0.5268,0
1.0042,5.0915e-05,0,0,1.4914,1,0.3287,5.1,0.5287,0
1.0073,5.1168e-05,0,0,1.4914,1,0.3306,5.1,0.5306,0
1.0104,5.142e-05,0,0,1.4914,1,0.3325,5.1,0.5325,0
1.0135,5.1673e-05,0,0,1.4914,1,0.3344,5.1,0.5344,0
1.0166,5.1926e-05,0,0,1.4914,1,0.3363,5.1,0.5363,0
1.0197,5.2179e-05,0,0,1.4914,1,0.3382,5.1,0.5382,0
1.0228,5.2432e-05,0,0,1.4914,1,0.3401,5.1,0.5401,0
1.0259,5.2685e-05,0,0,1.4914,1,0.342,5.1,0.542,0
1.029,5.2937e-05,0,0,1.4914,1,0.3439,5.1,0.5439,0
1.0321,5.319e-05,0,0,1.4914,1,0.3458,5.1,0.5458,0
1.0352,5.3443e-05,0,0,1.4914,1,0.3477,5.1,0.5477,0
1.0383,5.3696e-05,0,0,1.4914,1,0.3496,5.1,0.5496,0
